,event_time,user_id,article_id,watch_time,comment_count
1407457,2022-09-19T22:04:45.705770+09:00,fxgS5vw2SeKrFgtBePbXrr,--zxacZcBe_wMdNoYxit_Q==,0,0
1117930,2022-09-19T22:04:57.633801+09:00,cM9Maol2RfOwqziL18kVIu,--zxacZcBe_wMdNoYxit_Q==,0,0
1171839,2022-09-19T22:06:08.491176+09:00,f4ajfExMSWKfgC07qrvrwG,--zxacZcBe_wMdNoYxit_Q==,0,0
2403775,2022-09-19T22:06:30.689542+09:00,ePO2CyUnFUlGrH78oLdWBf,--zxacZcBe_wMdNoYxit_Q==,0,0
1413360,2022-09-19T22:06:31.369599+09:00,cM3Vbka3Rfav8w2qvxFUTN,--zxacZcBe_wMdNoYxit_Q==,0,0
1117935,2022-09-19T22:07:34.383612+09:00,fpE3u6cTTOCQtm7bW8aynG,--zxacZcBe_wMdNoYxit_Q==,0,0
1069570,2022-09-19T22:08:28.455984+09:00,fs6K6JcmThm1KHtdeWYtpE,--zxacZcBe_wMdNoYxit_Q==,0,0
1889676,2022-09-19T22:08:41.358305+09:00,d0ZfLUOrQ9iKV44Hs513PY,--zxacZcBe_wMdNoYxit_Q==,0,0
2168462,2022-09-19T22:10:08.357961+09:00,dePDIOO4SwuXma7ELHmOnp,--zxacZcBe_wMdNoYxit_Q==,0,0
1889682,2022-09-19T22:10:33.925077+09:00,e8EMiQbtQK-Tsu-Y-nExqh,--zxacZcBe_wMdNoYxit_Q==,0,0
1413362,2022-09-19T22:10:51.550552+09:00,cqVw1shwT-WDsX0akJ1irN,--zxacZcBe_wMdNoYxit_Q==,0,0
1696510,2022-09-19T22:11:49.191511+09:00,ebW8v__ZQ7Sn60BKco_R5z,--zxacZcBe_wMdNoYxit_Q==,0,0
2451662,2022-09-19T22:12:15.123110+09:00,cCtNr7BSQzur74YwbQ_YLo,--zxacZcBe_wMdNoYxit_Q==,0,0
1316892,2022-09-19T22:12:32.214707+09:00,ePaZxSTiQUaCXC5UffYiTs,--zxacZcBe_wMdNoYxit_Q==,0,0
1171844,2022-09-19T22:12:48.092640+09:00,eIxSurb1Qc6TFm0vF-tOo9,--zxacZcBe_wMdNoYxit_Q==,0,0
1407458,2022-09-19T22:13:11.512576+09:00,ddU9Rp5yRl2uPfY3wuZtaE,--zxacZcBe_wMdNoYxit_Q==,0,0
1407459,2022-09-19T22:13:14.420402+09:00,clEp_UxwSK6nRwwGnv0LLO,--zxacZcBe_wMdNoYxit_Q==,1,0
1750869,2022-09-19T22:13:17.518341+09:00,fUmgnYzr9U9Bn5Q3ntHtVB,--zxacZcBe_wMdNoYxit_Q==,0,0
1262644,2022-09-19T22:14:05.881036+09:00,ej_Nz-3QTpOCp5RX7_UFxq,--zxacZcBe_wMdNoYxit_Q==,0,0
2403784,2022-09-19T22:15:18.178595+09:00,cLXZWX9A0UW0jpR1ueCEId,--zxacZcBe_wMdNoYxit_Q==,0,0
2045264,2022-09-19T22:16:22.133375+09:00,d4k4lvTUTNKa_iFRkWsk0Z,--zxacZcBe_wMdNoYxit_Q==,4,0
1165906,2022-09-19T22:16:27.976661+09:00,dXghb5GNQdSPFrdTU_P3Ux,--zxacZcBe_wMdNoYxit_Q==,0,0
1165898,2022-09-19T22:16:49.632231+09:00,ei099jekQnClQDdMCaYnH4,--zxacZcBe_wMdNoYxit_Q==,113,0
1552184,2022-09-19T22:17:12.501667+09:00,ea6b4riwRFizuNpgugpJM9,--zxacZcBe_wMdNoYxit_Q==,0,0
2045265,2022-09-19T22:18:38.381403+09:00,douXk98fo0nmvg1-nWCcx-,--zxacZcBe_wMdNoYxit_Q==,40,0
1600297,2022-09-19T22:19:19.048433+09:00,c8PvXIRjRvGLIjKC27FJtJ,--zxacZcBe_wMdNoYxit_Q==,0,0
973431,2022-09-19T22:19:21.292114+09:00,f5YWRkMC3k4NotLUo_Bs-Z,--zxacZcBe_wMdNoYxit_Q==,0,0
1503870,2022-09-19T22:20:43.481236+09:00,dB327TQmRLGYWIjeJGor-Q,--zxacZcBe_wMdNoYxit_Q==,0,0
1069571,2022-09-19T22:23:02.031924+09:00,eSlyRKuyQnqyx08csK1PCq,--zxacZcBe_wMdNoYxit_Q==,0,0
1889678,2022-09-19T22:23:36.644800+09:00,e35yoLADTZijPkPtTevywD,--zxacZcBe_wMdNoYxit_Q==,0,0
1799082,2022-09-19T22:24:26.130641+09:00,e5Xr1BigSlOTIQ6WWn6-2H,--zxacZcBe_wMdNoYxit_Q==,0,0
1799070,2022-09-19T22:25:38.548029+09:00,cddf9aYMQw2vstabBRdYmX,--zxacZcBe_wMdNoYxit_Q==,0,0
1165909,2022-09-19T22:26:27.175728+09:00,dc-G1cLZRNGc02oBSsX3Wm,--zxacZcBe_wMdNoYxit_Q==,55,0
1696515,2022-09-19T22:28:01.315679+09:00,dgfb_aDrE0I0kgEty0AtO-,--zxacZcBe_wMdNoYxit_Q==,0,0
2259038,2022-09-19T22:28:08.396695+09:00,fuAufMZUSjmZNjXccsCuNr,--zxacZcBe_wMdNoYxit_Q==,0,0
1889690,2022-09-19T22:28:35.447016+09:00,e_towDh7RkC7Z7jpj9_kGy,--zxacZcBe_wMdNoYxit_Q==,0,0
1799072,2022-09-19T22:28:46.606169+09:00,fI-PdCv3bkpVmbBfAUuiOM,--zxacZcBe_wMdNoYxit_Q==,0,0
1696516,2022-09-19T22:29:33.565200+09:00,dbZ4Ne5yReuRVxpLaQ9T5y,--zxacZcBe_wMdNoYxit_Q==,0,0
1407462,2022-09-19T22:30:30.003245+09:00,fsX22BtTRxuiYsCE30VJOr,--zxacZcBe_wMdNoYxit_Q==,0,0
1600292,2022-09-19T22:31:06.002040+09:00,dIaVKJu_S7ioVXmQwVS30_,--zxacZcBe_wMdNoYxit_Q==,0,0
925368,2022-09-19T22:31:53.422561+09:00,eNFlCPtkRjGi9B92hTY5yv,--zxacZcBe_wMdNoYxit_Q==,0,0
1268590,2022-09-19T22:32:21.907232+09:00,f-8ukGIgRC2eo1dJgH6NLk,--zxacZcBe_wMdNoYxit_Q==,0,0
925369,2022-09-19T22:32:39.748371+09:00,d8ThyCrpRCyq72mBZtO4su,--zxacZcBe_wMdNoYxit_Q==,0,0
1648675,2022-09-19T22:33:55.050977+09:00,dqGBUfYmR-SGRKjGXRM07B,--zxacZcBe_wMdNoYxit_Q==,0,0
1262647,2022-09-19T22:33:57.879029+09:00,c87rscZYTr6NS-rIVW608V,--zxacZcBe_wMdNoYxit_Q==,0,0
1069582,2022-09-19T22:34:24.407333+09:00,eCMuCN3FRjKzhOS9WmRXks,--zxacZcBe_wMdNoYxit_Q==,0,0
1985911,2022-09-19T22:35:06.743453+09:00,fGaVHFV5I09HnOyUf_Thbf,--zxacZcBe_wMdNoYxit_Q==,0,0
1413368,2022-09-19T22:35:37.407970+09:00,cNy2gBZES4K7awWcziwcxz,--zxacZcBe_wMdNoYxit_Q==,0,0
1171846,2022-09-19T22:35:46.764651+09:00,efHbpONeSFywGM78gclqb0,--zxacZcBe_wMdNoYxit_Q==,0,0
1895680,2022-09-19T22:35:52.754877+09:00,fC1qzN8NRMOkx751xeW9ZJ,--zxacZcBe_wMdNoYxit_Q==,0,0
1117949,2022-09-19T22:36:32.467110+09:00,dLAw_e0hbk3PvTDRoc_Xoh,--zxacZcBe_wMdNoYxit_Q==,0,0
1552193,2022-09-19T22:37:12.203588+09:00,dSmElgb_SjaaoYIQacJxNy,--zxacZcBe_wMdNoYxit_Q==,0,0
